LANP_label,ENG_label,AgeGroup,ST_label,n
Spanish,Very well,Adult,California/CA,4404731
Spanish,Very well,Adult,Texas/TX,3246428
Spanish,Very well,Adult,Florida/FL,1831957
Spanish,Very well,Youth,California/CA,1713565
Spanish,Well,Adult,California/CA,1255232
Spanish,Very well,Youth,Texas/TX,1213292
Spanish,Not well,Adult,California/CA,1187650
Spanish,Very well,Adult,New York/NY,1089229
Spanish,Well,Adult,Texas/TX,933446
Spanish,Not well,Adult,Texas/TX,780480
Spanish,Very well,Adult,Illinois/IL,690863
Spanish,Very well,Adult,Arizona/AZ,629711
Spanish,Well,Adult,Florida/FL,597043
Spanish,Not at all,Adult,California/CA,594051
Spanish,Very well,Youth,Florida/FL,567333
Spanish,Very well,Adult,New Jersey/NJ,544935
Spanish,Not well,Adult,Florida/FL,498349
Spanish,Not at all,Adult,Texas/TX,472336
Spanish,Very well,Senior,Texas/TX,387355
Spanish,Well,Adult,New York/NY,379644
Spanish,Very well,Youth,New York/NY,364650
Spanish,Very well,Senior,California/CA,359925
Spanish,Not well,Adult,New York/NY,348337
Tagalog,Very well,Adult,California/CA,317808
Spanish,Very well,Adult,Georgia/GA,289321
Spanish,Very well,Youth,Illinois/IL,285033
Spanish,Very well,Adult,North Carolina/NC,274468
Spanish,Well,Youth,California/CA,272359
Spanish,Very well,Adult,Pennsylvania/PA,265936
Spanish,Not at all,Adult,Florida/FL,260554
Spanish,Very well,Adult,Colorado/CO,259915
Spanish,Well,Youth,Texas/TX,259232
Spanish,Not well,Senior,California/CA,250585
Spanish,Very well,Adult,Nevada/NV,247104
Spanish,Very well,Adult,Massachusetts/MA,246492
Spanish,Very well,Adult,Washington/WA,245686
Spanish,Very well,Adult,Virginia/VA,240177
Spanish,Very well,Adult,New Mexico/NM,235241
Spanish,Very well,Senior,Florida/FL,232058
Spanish,Well,Adult,Illinois/IL,229145
Spanish,Very well,Youth,Arizona/AZ,226914
Spanish,Very well,Youth,New Jersey/NJ,219407
Chinese,Very well,Adult,California/CA,214230
Spanish,Well,Adult,New Jersey/NJ,198531
Spanish,Not at all,Senior,California/CA,198151
Haitian,Very well,Adult,Florida/FL,191251
Spanish,Well,Senior,California/CA,190188
Spanish,Not well,Adult,New Jersey/NJ,180305
Spanish,Not well,Adult,Illinois/IL,178363
Vietnamese,Very well,Adult,California/CA,172381
Spanish,Very well,Adult,Connecticut/CT,172226
Spanish,Very well,Adult,Maryland/MD,171356
Spanish,Very well,Youth,North Carolina/NC,167524
Spanish,Very well,Youth,Georgia/GA,160430
Spanish,Not well,Senior,Florida/FL,158335
Spanish,Very well,Adult,Oregon/OR,148003
Spanish,Well,Senior,Texas/TX,144764
Spanish,Very well,Adult,Utah/UT,140827
Hindi,Very well,Adult,California/CA,140228
Spanish,Not at all,Adult,New York/NY,138687
Spanish,Well,Adult,Arizona/AZ,137300
Spanish,Well,Senior,Florida/FL,136898
Spanish,Not at all,Senior,Florida/FL,136597
Spanish,Not well,Senior,Texas/TX,136220
Spanish,Not at all,Senior,Texas/TX,133579
Chinese,Well,Adult,California/CA,132900
Korean,Very well,Adult,California/CA,126886
Spanish,Very well,Youth,Washington/WA,126698
Spanish,Very well,Senior,New York/NY,125502
Mandarin,Very well,Adult,California/CA,125304
Spanish,Not well,Adult,Arizona/AZ,123089
Spanish,Very well,Adult,Indiana/IN,122322
Spanish,Very well,Adult,Michigan/MI,122069
Spanish,Very well,Adult,Ohio/OH,113281
Spanish,Well,Adult,Georgia/GA,111342
Vietnamese,Well,Adult,California/CA,111267
Spanish,Very well,Adult,Oklahoma/OK,108873
Spanish,Not well,Adult,Georgia/GA,108710
Spanish,Very well,Youth,Colorado/CO,103928
Tagalog,Well,Adult,California/CA,102751
Spanish,Very well,Youth,Nevada/NV,102234
Spanish,Very well,Adult,Wisconsin/WI,102096
Spanish,Very well,Youth,Virginia/VA,101676
Chinese,Very well,Adult,New York/NY,101214
Spanish,Well,Adult,North Carolina/NC,101004
Arabic,Very well,Adult,California/CA,99226
Spanish,Not well,Adult,North Carolina/NC,98779
Spanish,Very well,Youth,Pennsylvania/PA,95761
Tagalog,Very well,Senior,California/CA,95075
Cantonese,Very well,Adult,California/CA,94906
Spanish,Not at all,Adult,New Jersey/NJ,94542
Spanish,Well,Adult,Virginia/VA,93775
Farsi,Very well,Adult,California/CA,93643
Vietnamese,Not well,Adult,California/CA,92514
Spanish,Well,Adult,Pennsylvania/PA,91669
Spanish,Not well,Senior,New York/NY,91260
Spanish,Not well,Youth,Texas/TX,91196
Spanish,Very well,Adult,Tennessee/TN,91117
Spanish,Very well,Youth,Massachusetts/MA,89258
Spanish,Very well,Youth,Maryland/MD,89130
Spanish,Not well,Youth,California/CA,88066
Spanish,Well,Adult,Massachusetts/MA,85643
Spanish,Very well,Adult,South Carolina/SC,83849
Armenian,Very well,Adult,California/CA,83511
Spanish,Well,Adult,Nevada/NV,82787
Spanish,Well,Senior,New York/NY,80498
Spanish,Well,Adult,Colorado/CO,79985
Russian,Very well,Adult,New York/NY,79946
Spanish,Not well,Adult,Washington/WA,79749
Spanish,Very well,Adult,Kansas/KS,79311
Chinese,Not well,Adult,New York/NY,78825
Spanish,Very well,Adult,Minnesota/MN,78660
Spanish,Well,Adult,Washington/WA,77796
Spanish,Well,Adult,Maryland/MD,77503
Spanish,Well,Youth,Florida/FL,77289
Spanish,Not well,Adult,Massachusetts/MA,77008
French,Very well,Adult,California/CA,77003
Spanish,Very well,Senior,Arizona/AZ,76728
Portuguese,Very well,Adult,Massachusetts/MA,75381
French,Very well,Adult,New York/NY,74177
Haitian,Well,Adult,Florida/FL,73703
Chinese,Well,Adult,New York/NY,73652
Spanish,Not well,Adult,Maryland/MD,73259
Spanish,Very well,Senior,New Mexico/NM,73183
Spanish,Not well,Adult,Virginia/VA,72843
Vietnamese,Very well,Adult,Texas/TX,72494
Russian,Very well,Adult,California/CA,72279
Haitian,Very well,Adult,New York/NY,71787
Spanish,Not well,Adult,Nevada/NV,71729
Spanish,Not well,Adult,Pennsylvania/PA,71649
Spanish,Very well,Youth,Oregon/OR,71447
Korean,Well,Adult,California/CA,70385
Haitian,Very well,Youth,Florida/FL,67841
Spanish,Not at all,Adult,Arizona/AZ,67671
Chinese,Not well,Adult,California/CA,67559
Spanish,Very well,Adult,Missouri/MO,65713
Spanish,Well,Youth,New York/NY,65490
Portuguese,Very well,Adult,Florida/FL,65457
Polish,Very well,Adult,Illinois/IL,64639
Spanish,Very well,Youth,New Mexico/NM,64166
Punjabi,Very well,Adult,California/CA,63593
Arabic,Very well,Adult,Michigan/MI,62926
Spanish,Very well,Youth,Connecticut/CT,62642
Spanish,Not well,Adult,Colorado/CO,61760
Mandarin,Well,Adult,California/CA,61383
Spanish,Not at all,Senior,New York/NY,61005
Spanish,Very well,Youth,Utah/UT,60757
Filipino,Very well,Adult,California/CA,60381
Italian,Very well,Adult,New York/NY,60109
Spanish,Very well,Youth,Oklahoma/OK,59547
Hindi,Very well,Adult,Texas/TX,59011
Spanish,Very well,Adult,Idaho/ID,58919
Hindi,Very well,Adult,New Jersey/NJ,58832
Spanish,Not at all,Adult,Illinois/IL,58490
Spanish,Very well,Youth,Indiana/IN,57979
Spanish,Well,Adult,Connecticut/CT,57761
Spanish,Very well,Adult,Arkansas/AR,56903
Spanish,Very well,Adult,Louisiana/LA,55826
Arabic,Very well,Adult,Texas/TX,54973
Tagalog,Well,Senior,California/CA,54859
Spanish,Very well,Adult,Alabama/AL,54624
Spanish,Very well,Youth,Tennessee/TN,54569
Yiddish,Very well,Adult,New York/NY,53289
Spanish,Very well,Adult,Rhode Island/RI,52928
German,Very well,Adult,California/CA,51699
Spanish,Not at all,Adult,Georgia/GA,51212
Chinese,Very well,Youth,California/CA,50766
Portuguese,Very well,Adult,California/CA,50494
Arabic,Very well,Adult,New York/NY,50473
Spanish,Very well,Youth,Wisconsin/WI,50458
Spanish,Not at all,Adult,North Carolina/NC,50311
Spanish,Very well,Adult,Iowa/IA,50222
Spanish,Not well,Adult,Connecticut/CT,49623
Spanish,Very well,Adult,Nebraska/NE,49358
Spanish,Very well,Senior,New Jersey/NJ,49285
Chinese,Very well,Adult,Texas/TX,48951
Japanese,Very well,Adult,California/CA,48410
Telugu,Very well,Adult,California/CA,48229
Spanish,Very well,Youth,Michigan/MI,48027
Vietnamese,Not well,Senior,California/CA,47976
Vietnamese,Well,Adult,Texas/TX,47902
French,Very well,Adult,Florida/FL,47785
Bengali,Very well,Adult,New York/NY,47647
Vietnamese,Very well,Youth,California/CA,47623
Urdu,Very well,Adult,Texas/TX,46689
Spanish,Well,Adult,Indiana/IN,46324
Spanish,Not well,Adult,Tennessee/TN,46150
Spanish,Well,Adult,New Mexico/NM,46089
Navajo,Very well,Adult,Arizona/AZ,45844
French,Very well,Adult,Texas/TX,45840
Spanish,Very well,Senior,Illinois/IL,45566
Spanish,Well,Youth,Illinois/IL,44566
Spanish,Very well,Youth,Kansas/KS,43657
Korean,Not well,Adult,California/CA,43599
Spanish,Well,Adult,Oregon/OR,43304
Spanish,Very well,Adult,Kentucky/KY,43016
Spanish,Very well,Youth,South Carolina/SC,42850
Spanish,Not well,Adult,Oregon/OR,42311
Tamil,Very well,Adult,California/CA,42085
Spanish,Well,Adult,Tennessee/TN,41763
Telugu,Very well,Adult,Texas/TX,41721
Russian,Well,Adult,New York/NY,41465
Spanish,Not at all,Adult,Massachusetts/MA,40968
Spanish,Very well,Youth,Ohio/OH,40950
Spanish,Very well,Youth,Minnesota/MN,40933
Spanish,Not well,Senior,New Jersey/NJ,40750
Spanish,Not at all,Adult,Pennsylvania/PA,40045
Portuguese,Very well,Adult,New Jersey/NJ,39904
Haitian,Not well,Adult,Florida/FL,39861
Gujarati,Very well,Adult,New Jersey/NJ,39676
Spanish,Well,Adult,Utah/UT,39578
Chinese,Not well,Senior,California/CA,38955
Cantonese,Well,Adult,California/CA,38838
Spanish,Well,Adult,Oklahoma/OK,38391
Haitian,Very well,Adult,Massachusetts/MA,37289
Mandarin,Not well,Adult,California/CA,37054
Vietnamese,Not well,Adult,Texas/TX,36399
Arabic,Very well,Adult,New Jersey/NJ,35975
Arabic,Very well,Adult,Florida/FL,35927
Cantonese,Not well,Adult,California/CA,35665
Chinese,Very well,Adult,Massachusetts/MA,35636
Tagalog,Very well,Adult,Nevada/NV,35587
Spanish,Well,Senior,Illinois/IL,35530
Spanish,Well,Adult,Ohio/OH,34950
Korean,Very well,Adult,New York/NY,34810
Spanish,Not well,Adult,Indiana/IN,34680
Spanish,Not well,Youth,Florida/FL,34634
Spanish,Well,Adult,Michigan/MI,34633
Navajo,Very well,Adult,New Mexico/NM,34356
Spanish,Not well,Senior,Illinois/IL,34164
Tagalog,Very well,Adult,Texas/TX,34046
Spanish,Well,Senior,New Jersey/NJ,33961
Spanish,Well,Adult,Wisconsin/WI,33931
Spanish,Well,Adult,South Carolina/SC,33881
German,Very well,Adult,Texas/TX,33851
Hmong,Very well,Adult,California/CA,33744
Spanish,Well,Youth,Georgia/GA,33467
Polish,Very well,Adult,New York/NY,33417
Spanish,Not at all,Adult,Washington/WA,33051
Chinese,Very well,Adult,New Jersey/NJ,33003
Spanish,Very well,Youth,Alabama/AL,32948
Spanish,Not well,Adult,Utah/UT,32881
Urdu,Very well,Adult,New York/NY,32837
Cantonese,Very well,Adult,New York/NY,32613
Arabic,Very well,Adult,Illinois/IL,32585
Bengali,Well,Adult,New York/NY,32498
Chinese,Well,Senior,California/CA,32403
Hindi,Very well,Adult,New York/NY,32367
Korean,Not well,Senior,California/CA,32367
Spanish,Very well,Youth,Arkansas/AR,32347
Spanish,Not well,Adult,Oklahoma/OK,32318
Chinese,Very well,Adult,Washington/WA,32170
Spanish,Not well,Adult,South Carolina/SC,32115
Mandarin,Very well,Youth,California/CA,32089
Hebrew,Very well,Adult,New York/NY,32051
Polish,Well,Adult,Illinois/IL,32018
Arabic,Well,Adult,California/CA,31848
Farsi,Well,Adult,California/CA,31779
Spanish,Very well,Senior,Colorado/CO,31413
Greek,Very well,Adult,New York/NY,31317
Portuguese,Well,Adult,Massachusetts/MA,31315
Spanish,Not well,Adult,Wisconsin/WI,31304
Hmong,Very well,Adult,Minnesota/MN,31292
Arabic,Very well,Adult,Virginia/VA,31194
Spanish,Well,Adult,Kansas/KS,31092
Urdu,Very well,Adult,California/CA,31065
Hindi,Very well,Adult,Illinois/IL,30899
Gujarati,Very well,Adult,California/CA,30868
Spanish,Well,Youth,New Jersey/NJ,30794
Tagalog,Very well,Adult,Illinois/IL,30761
Chinese,Very well,Senior,California/CA,30735
Italian,Very well,Adult,California/CA,30544
Mandarin,Very well,Adult,New York/NY,30217
Spanish,Not well,Adult,New Mexico/NM,30175
Arabic,Very well,Youth,Michigan/MI,30049
Yiddish,Very well,Youth,New York/NY,30049
Urdu,Very well,Adult,Illinois/IL,29746
Yiddish,Well,Youth,New York/NY,29726
Spanish,Not at all,Adult,Maryland/MD,29433
Chinese,Very well,Youth,New York/NY,29179
Spanish,Not at all,Adult,Virginia/VA,29179
Spanish,Not at all,Youth,Texas/TX,28898
French,Very well,Adult,Maryland/MD,28866
Tagalog,Very well,Adult,New Jersey/NJ,28841
Spanish,Very well,Youth,Iowa/IA,28753
Spanish,Very well,Youth,Nebraska/NE,28738
Chinese,Not at all,Senior,New York/NY,28677
Italian,Very well,Senior,New York/NY,28660
German,Very well,Adult,Florida/FL,28439
Spanish,Well,Adult,Minnesota/MN,28388
Russian,Very well,Adult,Washington/WA,28370
Chinese,Not well,Senior,New York/NY,28356
Chinese,Not at all,Senior,California/CA,28155
Pennsylvania German,Very well,Adult,Pennsylvania/PA,28087
Arabic,Very well,Youth,California/CA,28038
Armenian,Well,Adult,California/CA,27947
Spanish,Not at all,Senior,New Jersey/NJ,27837
Korean,Very well,Youth,California/CA,27829
Portuguese,Very well,Adult,New York/NY,27803
Korean,Very well,Adult,New Jersey/NJ,27771
Khmer,Very well,Adult,California/CA,27678
Tagalog,Very well,Adult,New York/NY,27636
Tagalog,Very well,Youth,California/CA,27372
Hindi,Very well,Adult,Washington/WA,27315
Spanish,Not at all,Adult,Nevada/NV,27281
Arabic,Well,Adult,Michigan/MI,27183
Chinese,Well,Adult,Texas/TX,27142
Russian,Not well,Senior,New York/NY,26976
Russian,Well,Adult,California/CA,26974
Punjabi,Well,Adult,California/CA,26972
Yiddish,Well,Adult,New York/NY,26962
Spanish,Very well,Youth,Missouri/MO,26917
Spanish,Not well,Adult,Kansas/KS,26807
Spanish,Not well,Adult,Ohio/OH,26791
Spanish,Well,Youth,North Carolina/NC,26685
Tamil,Very well,Adult,Texas/TX,26647
Chinese,Very well,Adult,Illinois/IL,26569
Vietnamese,Well,Senior,California/CA,26567
Italian,Very well,Adult,New Jersey/NJ,26553
Korean,Very well,Adult,Texas/TX,26510
Spanish,Very well,Youth,Idaho/ID,26429
Spanish,Not well,Youth,New York/NY,26327
Russian,Very well,Adult,New Jersey/NJ,26300
Hebrew,Very well,Adult,California/CA,26157
Haitian,Very well,Adult,New Jersey/NJ,26098
Russian,Very well,Adult,Florida/FL,25789
Chinese,Not at all,Adult,New York/NY,25663
Spanish,Not well,Adult,Michigan/MI,25502
German,Very well,Adult,New York/NY,25263
Spanish,Not well,Adult,Minnesota/MN,25221
Tagalog,Very well,Adult,Florida/FL,25205
Yoruba,Very well,Adult,Texas/TX,25137
Polish,Very well,Adult,New Jersey/NJ,25108
Spanish,Very well,Adult,District of Columbia/DC,24729
Portuguese,Well,Adult,Florida/FL,24651
Spanish,Very well,Adult,Delaware/DE,24630
Korean,Well,Senior,California/CA,24310
Telugu,Very well,Adult,New Jersey/NJ,24273
Spanish,Very well,Youth,Louisiana/LA,24218
Tagalog,Very well,Adult,Washington/WA,23647
Vietnamese,Very well,Youth,Texas/TX,23634
Spanish,Well,Adult,Alabama/AL,23468
Chinese,Very well,Adult,Pennsylvania/PA,23451
Spanish,Well,Adult,Arkansas/AR,23203
Chinese,Not at all,Adult,California/CA,23189
Gujarati,Very well,Adult,Illinois/IL,23185
Cantonese,Not well,Senior,California/CA,23097
Spanish,Not well,Adult,Alabama/AL,23015
French,Very well,Senior,Florida/FL,22985
Hindi,Very well,Adult,Virginia/VA,22958
Gujarati,Very well,Adult,Texas/TX,22950
Korean,Very well,Adult,Virginia/VA,22861
Russian,Very well,Youth,New York/NY,22819
Filipino,Very well,Senior,California/CA,22753
Haitian,Well,Adult,New York/NY,22711
Spanish,Well,Youth,Arizona/AZ,22596
French,Very well,Senior,Louisiana/LA,22549
Spanish,Very well,Adult,Mississippi/MS,22535
French,Very well,Adult,Massachusetts/MA,22469
Hindi,Very well,Adult,Georgia/GA,22308
Malayalam,Very well,Adult,Texas/TX,22303
Portuguese,Very well,Youth,Florida/FL,22231
Portuguese,Very well,Youth,Massachusetts/MA,22093
Albanian,Very well,Adult,New York/NY,22052
Bengali,Very well,Youth,New York/NY,22030
Japanese,Well,Adult,California/CA,21931
Portuguese,Not well,Adult,Massachusetts/MA,21858
Vietnamese,Very well,Adult,Washington/WA,21848
