"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"1",44,54,"00304","Well","Marshallese"
"2",16,65,"00303","Very well","Cantonese"
"3",17,63,"00303","Very well","Cantonese"
"4",8,62,"00306","Well","Chinese"
"5",9,57,"00306","Not well","Chinese"
"6",13,30,"00306","Not well","Chinese"
"7",27,62,"00305","Well","Tagalog"
"8",63,50,"00305","Very well","Tagalog"
"9",10,52,"00301","Very well","Hawaiian"
"10",11,40,"00301","Very well","Hawaiian"
"11",15,68,"00303","Very well","Japanese"
"12",5,44,"00308","Very well","Spanish"
"13",4,14,"00308","Very well","Spanish"
"14",35,40,"00200","Very well","Other Eastern Malayo-Polynesian languages"
"15",13,57,"00306","Very well","Tagalog"
"16",82,47,"00200","Very well","Italian"
"17",14,25,"00306","Very well","Tagalog"
"18",33,35,"00308","Very well","Spanish"
"19",4,46,"00302","Very well","Hawaiian"
"20",24,85,"00301","Very well","Portuguese"
"21",24,70,"00306","Very well","Filipino"
"22",24,62,"00306","Not well","Filipino"
"23",57,42,"00100","Not well","Filipino"
"24",80,17,"00100","Very well","Filipino"
"25",67,13,"00100","Very well","Filipino"
"26",66,6,"00100","Very well","Filipino"
"27",9,86,"00304","Very well","Japanese"
"28",14,56,"00304","Very well","Japanese"
"29",5,35,"00200","Very well","Portuguese"
"30",7,59,"00200","Very well","Portuguese"
"31",11,18,"00200","Very well","Portuguese"
"32",27,65,"00304","Very well","Tagalog"
"33",33,54,"00308","Not well","Korean"
"34",30,55,"00308","Not well","Korean"
"35",16,48,"00304","Well","Japanese"
"36",35,64,"00100","Very well","Hawaiian"
"37",11,44,"00307","Well","Turkish"
"38",19,21,"00307","Not well","German"
"39",13,58,"00303","Not well","Japanese"
"40",15,23,"00303","Well","Japanese"
"41",42,61,"00100","Very well","Spanish"
"42",45,50,"00100","Very well","Spanish"
"43",40,48,"00303","Not well","Other Eastern Malayo-Polynesian languages"
"44",60,50,"00303","Well","Other Eastern Malayo-Polynesian languages"
"45",52,40,"00303","Not at all","Other Eastern Malayo-Polynesian languages"
"46",16,55,"00307","Very well","Tagalog"
"47",9,57,"00303","Very well","Hawaiian"
"48",31,48,"00307","Very well","Spanish"
"49",14,77,"00302","Not well","Japanese"
"50",15,35,"00200","Very well","Japanese"
"51",16,35,"00200","Well","Japanese"
"52",8,53,"00307","Well","Ilocano"
"53",7,49,"00307","Very well","Ilocano"
"54",10,65,"00305","Well","Cantonese"
"55",15,70,"00305","Not well","Cantonese"
"56",13,63,"00305","Not well","Cantonese"
"57",14,53,"00305","Very well","Mandarin"
"58",24,33,"00304","Very well","Farsi"
"59",20,47,"00308","Well","Spanish"
"60",51,20,"00308","Well","Spanish"
"61",4,41,"00308","Very well","Other English-based Creole languages"
"62",19,55,"00305","Well","Cebuano"
"63",22,23,"00305","Well","Japanese"
"64",15,62,"00307","Very well","Japanese"
"65",10,32,"00304","Not at all","Japanese"
"66",13,30,"00304","Not at all","Japanese"
"67",7,40,"00100","Very well","Spanish"
"68",20,53,"00308","Very well","Japanese"
"69",25,17,"00308","Very well","Japanese"
"70",15,63,"00100","Very well","Hawaiian"
"71",15,62,"00100","Very well","Hawaiian"
"72",6,22,"00306","Very well","Korean"
"73",15,38,"00307","Well","Ilocano"
"74",17,30,"00307","Well","Ilocano"
"75",18,61,"00200","Very well","Other English-based Creole languages"
"76",18,60,"00200","Very well","Other English-based Creole languages"
"77",13,73,"00308","Very well","Thai"
"78",13,67,"00308","Very well","Thai"
"79",32,64,"00100","Very well","Tagalog"
"80",33,54,"00100","Very well","Ilocano"
"81",37,42,"00100","Not well","Spanish"
"82",33,32,"00100","Well","Spanish"
"83",27,9,"00100","Very well","Spanish"
"84",41,65,"00307","Very well","Tagalog"
"85",38,53,"00307","Very well","Tagalog"
