LANP_label,ENG_label,AgeGroup,ST_label,n
Ilocano,Very well,Adult,Hawaii/HI,18459
Spanish,Very well,Adult,Hawaii/HI,18291
Hawaiian,Very well,Adult,Hawaii/HI,15388
Tagalog,Very well,Adult,Hawaii/HI,14990
Ilocano,Well,Adult,Hawaii/HI,14693
Japanese,Very well,Adult,Hawaii/HI,12573
Tagalog,Well,Adult,Hawaii/HI,8807
Filipino,Very well,Adult,Hawaii/HI,8332
Other English-based Creole languages,Very well,Adult,Hawaii/HI,7206
Ilocano,Well,Senior,Hawaii/HI,6712
Japanese,Well,Adult,Hawaii/HI,6533
Hawaiian,Very well,Youth,Hawaii/HI,6412
Samoan,Very well,Adult,Hawaii/HI,5969
Japanese,Very well,Senior,Hawaii/HI,5801
Ilocano,Not well,Senior,Hawaii/HI,5745
Filipino,Well,Adult,Hawaii/HI,5234
Ilocano,Not well,Adult,Hawaii/HI,5107
Korean,Very well,Adult,Hawaii/HI,4820
Chinese,Very well,Adult,Hawaii/HI,4460
Ilocano,Very well,Senior,Hawaii/HI,4301
Spanish,Well,Adult,Hawaii/HI,3559
Spanish,Very well,Youth,Hawaii/HI,3542
Tagalog,Very well,Senior,Hawaii/HI,3501
Japanese,Well,Senior,Hawaii/HI,3407
Tagalog,Well,Senior,Hawaii/HI,3169
Hawaiian,Very well,Senior,Hawaii/HI,3128
Japanese,Very well,Youth,Hawaii/HI,3067
Japanese,Not well,Adult,Hawaii/HI,3017
Ilocano,Very well,Youth,Hawaii/HI,2996
Japanese,Not well,Senior,Hawaii/HI,2919
Korean,Well,Adult,Hawaii/HI,2914
Marshallese,Very well,Adult,Hawaii/HI,2726
Other Eastern Malayo-Polynesian languages,Very well,Adult,Hawaii/HI,2695
Cantonese,Very well,Adult,Hawaii/HI,2596
Chinese,Well,Adult,Hawaii/HI,2594
Vietnamese,Very well,Adult,Hawaii/HI,2508
Korean,Not well,Adult,Hawaii/HI,2444
Filipino,Well,Senior,Hawaii/HI,2339
Vietnamese,Not well,Adult,Hawaii/HI,2313
Tongan,Very well,Adult,Hawaii/HI,2295
French,Very well,Adult,Hawaii/HI,2263
Chinese,Not well,Adult,Hawaii/HI,2229
Korean,Not well,Senior,Hawaii/HI,2127
Chuukese,Not well,Adult,Hawaii/HI,2103
Other Eastern Malayo-Polynesian languages,Well,Adult,Hawaii/HI,2057
Vietnamese,Well,Adult,Hawaii/HI,1979
Other English-based Creole languages,Very well,Senior,Hawaii/HI,1952
Tagalog,Not well,Adult,Hawaii/HI,1944
Spanish,Very well,Senior,Hawaii/HI,1887
Filipino,Very well,Senior,Hawaii/HI,1849
German,Very well,Adult,Hawaii/HI,1826
Mandarin,Very well,Adult,Hawaii/HI,1762
Cantonese,Not well,Senior,Hawaii/HI,1742
